,Tafea,Shefa,Malampa,Penama,Sanma,Torba
2001,0.05,0.46,0.44,0.08,0.10,0.10
2002,0.12,0.53,0.11,0.08,0.01,0.24
2003,3.83,0.42,0.38,0.24,0.23,0.18
2004,1.40,0.51,0.95,0.14,0.66,0.10
2005,0.25,0.28,0.99,0.09,0.73,0.21
2006,0.91,0.49,0.45,0.20,0.02,0.13
2007,0.26,0.60,0.07,0.03,0.11,0.05
2008,0.25,0.82,0.24,0.10,0.39,0.14
2009,9.22,1.09,0.16,0.09,0.21,0.20
2010,1.45,0.51,0.24,0.12,0.36,0.39
2011,4.56,0.76,0.39,0.06,0.08,0.23
2012,0.00,0.80,0.48,0.21,0.25,0.24
2013,0.91,3.01,3.61,0.37,3.04,0.18
2014,0.70,1.35,0.63,0.27,3.23,0.17
2015,16.46,11.54,4.59,0.18,1.98,0.01
2016,4.93,2.71,4.01,0.25,1.49,0.02
2017,0.42,1.43,0.85,0.10,0.66,0.90
2018,0.11,0.04,0.37,1.26,0.30,8.23
2019,0.70,0.81,0.12,0.39,0.32,0.18
2020,0.11,0.13,0.13,26.18,12.78,0.02
2021,0.20,0.08,0.07,0.02,0.21,0.00
2022,0.08,0.07,0.01,0.02,0.30,0.00
2023,1.06,2.02,1.44,2.84,0.36,0.67
